label,kode,nama
ACEH,11,ACEH
SUMATERA UTARA,12,SUMATERA UTARA
SUMATERA BARAT,13,SUMATERA BARAT
RIAU,14,RIAU
JAMBI,15,JAMBI
SUMATERA SELATAN,16,SUMATERA SELATAN
BENGKULU,17,BENGKULU
LAMPUNG,18,LAMPUNG
KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG
KEPULAUAN RIAU,21,KEPULAUAN RIAU
DKI JAKARTA,31,DKI JAKARTA
JAWA BARAT,32,JAWA BARAT
JAWA TENGAH,33,JAWA TENGAH
DAERAH ISTIMEWA YOGYAKARTA,34,DAERAH ISTIMEWA YOGYAKARTA
JAWA TIMUR,35,JAWA TIMUR
BANTEN,36,BANTEN
BALI,51,BALI
NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT
NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR
KALIMANTAN BARAT,61,KALIMANTAN BARAT
KALIMANTAN TENGAH,62,KALIMANTAN TENGAH
KALIMANTAN SELATAN,63,KALIMANTAN SELATAN
KALIMANTAN TIMUR,64,KALIMANTAN TIMUR
KALIMANTAN UTARA,65,KALIMANTAN UTARA
SULAWESI UTARA,71,SULAWESI UTARA
SULAWESI TENGAH,72,SULAWESI TENGAH
SULAWESI SELATAN,73,SULAWESI SELATAN
SULAWESI TENGGARA,74,SULAWESI TENGGARA
GORONTALO,75,GORONTALO
SULAWESI BARAT,76,SULAWESI BARAT
MALUKU,81,MALUKU
MALUKU UTARA,82,MALUKU UTARA
PAPUA,91,PAPUA
PAPUA BARAT,92,PAPUA BARAT
